Patriotismo,Tacubaya,1133,Chilpancingo,955,,,,,,,,
Agrícola Oriental,Canal de San Juan,1093,Pantitlán,1409,,,,,,,,
Canal de San Juan,Tepalcates,1456,Agrícola Oriental,1093,,,,,,,,
Tepalcates,Guelatao,1161,Canal de San Juan,1456,,,,,,,,
Guelatao,Peñón Viejo,2206,Tepalcates,1161,,,,,,,,
Peñón Viejo,Acatitla,1379,Guelatao,2206,,,,,,,,
Acatitla,Santa Marta,1100,Peñón Viejo,1379,,,,,,,,
Santa Marta,Los Reyes,1783,Acatitla,1100,,,,,,,,
Los Reyes,La Paz,1956,Santa Marta,1783,,,,,,,,
La Paz,Los Reyes,1956,,,,,,,,,,
Ciudad Azteca,Plaza Aragón,574,,,,,,,,,,
Plaza Aragón,Olímpica,709,Ciudad Azteca,574,,,,,,,,
Olímpica,Ecatepec,596,Plaza Aragón,709,,,,,,,,
Ecatepec,Múzquiz,1485,Olímpica,596,,,,,,,,
Múzquiz,Río de los Remedios,1155,Ecatepec,1485,,,,,,,,
Río de los Remedios,Impulsora,436,Múzquiz,1155,,,,,,,,
Impulsora,Nezahualcóyotl,1393,Río de los Remedios,436,,,,,,,,
Nezahualcóyotl,Villa de Aragón,1335,Impulsora,1393,,,,,,,,
Villa de Aragón,Bosques de Aragón,784,Nezahualcóyotl,1335,,,,,,,,
Bosques de Aragón,Deportivo Oceanía,1165,Villa de Aragón,784,,,,,,,,
Deportivo Oceanía,Oceanía,863,Bosques de Aragón,1165,,,,,,,,
Romero Rubio,Ricardo Flores Magón,908,Oceanía,809,,,,,,,,
Ricardo Flores Magón,San Lázaro,907,Romero Rubio,908,,,,,,,,
Tepito,Lagunilla,611,Morelos,498,,,,,,,,
Lagunilla,Garibaldi,474,Tepito,611,,,,,,,,
Buenavista,Guerrero,521,,,,,,,,,,
Tláhuac,Tlaltenco,1298,,,,,,,,,,
Tlaltenco,Zapotitlán,1115,Tláhuac,1298,,,,,,,,
Zapotitlán,Nopalera,1276,Tlaltenco,1115,,,,,,,,
Nopalera,Olivos,1360,Zapotitlán,1276,,,,,,,,
Olivos,Tezonco,490,Nopalera,1360,,,,,,,,
Tezonco,Periférico Oriente,1545,Olivos,490,,,,,,,,
Periférico Oriente,Calle 11,1111,Tezonco,1545,,,,,,,,
Calle 11,Lomas Estrella,906,Periférico Oriente,1111,,,,,,,,
Lomas Estrella,San Andrés Tomatlán,1060,Calle 11,906,,,,,,,,
San Andrés Tomatlán,Culhuacán,990,Lomas Estrella,1060,,,,,,,,
Culhuacán,Atlalilco,1671,San Andrés Tomatlán,990,,,,,,,,
Mexicaltzingo,Ermita,1805,Atlalilco,1922,,,,,,,,
Eje Central,Parque de los Venados,1280,Ermita,895,,,,,,,,
Parque de los Venados,Zapata,563,Eje Central,1280,,,,,,,,
Hospital 20 de Noviembre,Insurgentes Sur,725,Zapata,450,,,,,,,,
Insurgentes Sur,Mixcoac,651,Hospital 20 de Noviembre,725,,,,,,,,
